0    ,158023,L. Messi                      ,31,Argentina                     ,94,94,FC Barcelona                            ,110.5M  ,565K ,Left ,10,5'7 ,159lbs
9006 ,243763,G. Rodrguez                   ,27,Argentina                     ,66,66,San Martin de Tucumn                    ,675K    ,4K   ,Right,7 ,5'10,152lbs
9007 ,205876,F. Diarra                     ,26,Mali                          ,66,69,La Berrichonne de Chteauroux            ,825K    ,2K   ,Right,9 ,5'9 ,154lbs
9008 ,197941,K. Igboananike                ,29,Nigeria                       ,66,66,rebro SK                                ,650K    ,2K   ,Right,77,5'9 ,154lbs
9009 ,213301,S. Horvath                    ,21,Austria                       ,66,71,SG Dynamo Dresden                       ,875K    ,4K   ,Right,29,5'5 ,148lbs
9010 ,239669,J. Levi                       ,22,Sweden                        ,66,74,Rosenborg BK                            ,950K    ,2K   ,Left ,17,6'1 ,165lbs
9011 ,206134,D. Cole                       ,23,England                       ,66,73,Burton Albion                           ,925K    ,14K  ,Right,44,6'1 ,161lbs
9012 ,210742,M. Hallberg                   ,22,Sweden                        ,66,73,Vejle Boldklub                          ,900K    ,3K   ,Right,8 ,5'11,152lbs
9013 ,224566,Carlos Blanco                 ,22,Spain                         ,66,74,Villarreal CF                           ,825K    ,7K   ,Right,31,6'2 ,154lbs
9014 ,241462,R. Guerra                     ,21,Uruguay                       ,66,76,Gimnstic de Tarragona                   ,1M      ,6K   ,Right,19,6'0 ,165lbs
9015 ,186422,S. Scannell                   ,27,Republic of Ireland           ,66,66,Bradford City                           ,675K    ,4K   ,Right,7 ,5'9 ,161lbs
9016 ,195126,J. Marquis                    ,26,England                       ,66,69,Doncaster Rovers                        ,825K    ,4K   ,Right,9 ,6'1 ,161lbs
9017 ,202295,Park Gi Dong                  ,29,Korea Republic                ,66,66,Suwon Samsung Bluewings                 ,650K    ,3K   ,Left ,9 ,6'3 ,183lbs
9018 ,222263,N. Jackers                    ,20,Belgium                       ,66,75,KRC Genk                                ,750K    ,2K   ,Right,30,6'2 ,176lbs
9019 ,238647,M. Schrter                    ,22,Germany                       ,66,72,FSV Zwickau                             ,750K    ,1K   ,Right,17,6'0 ,165lbs
9020 ,177719,L. Bro                        ,32,Poland                        ,66,66,lsk Wrocaw                              ,350K    ,2K   ,Right,28,5'11,163lbs
9021 ,215864,J. Dodoo                      ,23,Ghana                         ,66,75,Blackpool                               ,1M      ,13K  ,Right,11,6'0 ,154lbs
9022 ,228408,C. Ronan                      ,20,Republic of Ireland           ,66,78,Walsall                                 ,1.1M    ,13K  ,Right,31,5'7 ,148lbs
9023 ,230200,Edenildo Lagoas               ,30,Brazil                        ,66,66,Cear Sporting Club                      ,475K    ,6K   ,Right,15,5'11,165lbs
9024 ,165176,S. Freis                      ,33,Germany                       ,66,66, SSV Jahn Regensburg                    ,400K    ,4K   ,Right,11,6'0 ,172lbs
9025 ,232760,E. Diaw                       ,23,Senegal                       ,66,71,Korona Kielce                           ,725K    ,2K   ,Left ,23,6'4 ,187lbs
9026 ,238392,E. Owusu                      ,20,France                        ,66,80,FC Sochaux-Montbliard                   ,1.3M    ,10K  ,Right,17,6'0 ,159lbs
9027 ,184376,L. Vcha                       ,29,Czech Republic                ,66,66,Sparta Praha                            ,500K    ,1K   ,Right,6 ,5'9 ,159lbs
9028 ,200505,L. Hutten                     ,28,Netherlands                   ,66,66,Fortuna Sittard                         ,650K    ,3K   ,Right,25,5'11,159lbs
9029 ,225849,M. Dittgen                    ,23,Germany                       ,66,69,SV Wehen Wiesbaden                      ,825K    ,2K   ,Left ,7 ,6'0 ,170lbs
9030 ,233017,Park Han Bin                  ,20,Korea Republic                ,66,78,Daegu FC                                ,1.1M    ,2K   ,Right,36,6'0 ,165lbs
9031 ,238137,R. Matsuda                    ,26,Japan                         ,66,66,Cerezo Osaka                            ,550K    ,3K   ,Right,2 ,5'7 ,152lbs
9032 ,238649,D. Frick                      ,28,Germany                       ,66,66,FSV Zwickau                             ,525K    ,1K   ,Right,19,6'2 ,185lbs
9033 ,241465,Chuca                         ,21,Spain                         ,66,75,Elche CF                                ,975K    ,6K   ,Right,19,5'11,165lbs
9034 ,186937,A. Lamas                      ,34,Uruguay                       ,66,66,Atltico Tucumn                          ,200K    ,3K   ,Left ,39,6'2 ,181lbs
9035 ,209210,A. Grant                      ,24,Australia                     ,66,70,Perth Glory                             ,700K    ,2K   ,Left ,2 ,6'3 ,194lbs
9036 ,211002,Hwang Seok Ho                 ,29,Korea Republic                ,66,66,Shimizu S-Pulse                         ,500K    ,2K   ,Right,3 ,6'0 ,165lbs
9037 ,224826,G. Berthier                   ,22,France                        ,66,75,Red Star FC                             ,1M      ,5K   ,Left ,14,5'10,143lbs
9038 ,235834,F. Depaoli                    ,21,Italy                         ,66,79,Chievo Verona                           ,1.2M    ,4K   ,Right,27,5'10,157lbs
9039 ,214843,E. Godoy                      ,31,Chile                         ,66,66,Curic Unido                             ,425K    ,1K   ,Left ,4 ,6'2 ,170lbs
9040 ,231227,N. Dorsch                     ,20,Germany                       ,66,79,1. FC Heidenheim 1846                   ,1.1M    ,3K   ,Right,36,5'10,159lbs
9041 ,235579,M. Massop                     ,24,Netherlands                   ,66,70,Waasland-Beveren                        ,700K    ,3K   ,Left ,3 ,6'0 ,165lbs
9042 ,193851,D. Blacha                     ,27,Poland                        ,66,66,VfL Osnabrck                            ,650K    ,2K   ,Right,23,5'9 ,159lbs
9043 ,228156,A. Angulo                     ,21,Colombia                      ,66,76,Rionegro guilas                         ,900K    ,1K   ,Left ,18,5'8 ,150lbs
9044 ,235324,R. Niemeijer                  ,23,Netherlands                   ,66,71,FC Emmen                                ,850K    ,2K   ,Right,11,5'10,157lbs
9045 ,240956,M. Melluso                    ,20,Argentina                     ,66,80,Gimnasia y Esgrima La Plata             ,1.3M    ,3K   ,Left ,32,5'7 ,139lbs
9046 ,202301,Kim Ho Nam                    ,29,Korea Republic                ,66,66,Jeju United FC                          ,625K    ,2K   ,Right,13,5'10,159lbs
9047 ,213822,L. Cabrera                    ,24,Chile                         ,66,70,Audax Italiano                          ,700K    ,1K   ,Right,21,5'6 ,161lbs
9048 ,224062,P. Dziczek                    ,20,Poland                        ,66,74,Piast Gliwice                           ,825K    ,2K   ,Right,10,5'10,154lbs
9049 ,235582,L. Badiashile                 ,20,France                        ,66,74,AS Monaco                               ,725K    ,8K   ,Right,40,6'1 ,176lbs
9050 ,221503,H. Shipp                      ,26,United States                 ,66,66,Seattle Sounders FC                     ,700K    ,3K   ,Right,19,5'9 ,146lbs
9051 ,190015,O. Cissokho                   ,31,Senegal                       ,66,66,US Orlans Loiret Football               ,575K    ,2K   ,Left ,8 ,5'9 ,150lbs
9052 ,192063,Ricardinho                    ,28,Brazil                        ,66,66,Wisa Pock                               ,675K    ,3K   ,Right,21,5'9 ,161lbs
9053 ,193087,P. Tomasik                    ,30,Poland                        ,66,66,Lech Pozna                              ,475K    ,3K   ,Left ,77,5'10,159lbs
9054 ,200256,T. Leugers                    ,27,Germany                       ,66,67,SV Meppen                               ,600K    ,1K   ,Left ,8 ,6'0 ,165lbs
9055 ,232768,T. Wada                       ,27,Japan                         ,66,66,Sanfrecce Hiroshima                     ,525K    ,4K   ,Left ,33,5'7 ,139lbs
9056 ,235328,A. Beghetto                   ,23,Italy                         ,66,72,Frosinone                               ,875K    ,4K   ,Left ,33,5'10,165lbs
9057 ,191552,M. Inoha                      ,32,Japan                         ,66,66,Vissel Kobe                             ,375K    ,3K   ,Right,39,5'10,163lbs
9058 ,198721,D. Cappelletti                ,26,Italy                         ,66,67,Padova                                  ,625K    ,1K   ,Right,23,6'0 ,168lbs
9059 ,214081,D. Murillo                    ,24,Colombia                      ,66,71,Junior FC                               ,725K    ,1K   ,Right,4 ,5'10,165lbs
9060 ,224065,D. Blanco                     ,23,Argentina                     ,66,75,Defensa y Justicia                      ,975K    ,5K   ,Right,8 ,5'6 ,139lbs
9061 ,235073,G. Kobel                      ,20,Switzerland                   ,66,79,TSG 1899 Hoffenheim                     ,1M      ,4K   ,Right,36,6'4 ,198lbs
9062 ,199746,J. Bge                        ,28,Denmark                       ,66,66,Hobro IK                                ,500K    ,3K   ,Right,3 ,5'11,154lbs
9063 ,205378,B. Valette                    ,25,France                        ,66,67,Nmes Olympique                          ,525K    ,4K   ,Right,1 ,6'1 ,172lbs
9064 ,170818,S. Davies                     ,30,England                       ,66,66,Blackpool                               ,625K    ,4K   ,Left ,26,6'1 ,161lbs
9065 ,244546,F. Proia                      ,22,Italy                         ,66,74,Cittadella                              ,925K    ,1K   ,Right,21,6'1 ,168lbs
9066 ,245058,O. Kiteishvili                ,22,Georgia                       ,66,77,SK Sturm Graz                           ,1.1M    ,5K   ,Right,9 ,5'8 ,143lbs
9067 ,202819,C. Forrester                  ,25,Republic of Ireland           ,66,72,Aberdeen                                ,750K    ,2K   ,Right,7 ,5'11,150lbs
9068 ,214339,D. Balanta                    ,24,Colombia                      ,66,72,Junior FC                               ,750K    ,1K   ,Right,3 ,6'1 ,179lbs
9069 ,215363,L. Montip                     ,22,Italy                         ,66,78,Benevento                               ,900K    ,1K   ,Right,12,6'3 ,181lbs
9070 ,224067,J. Tverskov                   ,25,Denmark                       ,66,71,Odense Boldklub                         ,725K    ,4K   ,Right,6 ,6'1 ,187lbs
9071 ,228675,D. Barinov                    ,21,Russia                        ,66,76,Lokomotiv Moscow                        ,925K    ,1K   ,Left ,36,5'10,159lbs
9072 ,169539,M. Hughes                     ,31,England                       ,66,66,Accrington Stanley                      ,425K    ,2K   ,Right,3 ,6'2 ,183lbs
9073 ,204100,S. Brandstetter               ,28,Germany                       ,66,66,SV Wehen Wiesbaden                      ,675K    ,3K   ,Right,27,6'2 ,183lbs
9074 ,237892,R. Seuntjens                  ,29,Netherlands                   ,66,66,VVV-Venlo                               ,625K    ,3K   ,Right,9 ,6'4 ,205lbs
9075 ,207429,D. Samuel                     ,24,England                       ,66,71,Blackburn Rovers                        ,875K    ,11K  ,Right,9 ,6'0 ,152lbs
9076 ,219461,E. Palmer-Brown               ,21,United States                 ,66,77,NAC Breda                               ,975K    ,2K   ,Right,14,6'1 ,174lbs
9077 ,219717,Y. Gonzlez                    ,23,Colombia                      ,66,71,Junior FC                               ,850K    ,1K   ,Right,18,6'0 ,179lbs
9078 ,223813,D. van Bruggen                ,22,Netherlands                   ,66,73,VVV-Venlo                               ,775K    ,2K   ,Right,20,6'0 ,179lbs
9079 ,229445,G. Pacheco                    ,29,Chile                         ,66,66,CD Universidad de Concepcin             ,475K    ,2K   ,Right,14,5'11,168lbs
9080 ,229701,P. Ochs                       ,21,Germany                       ,66,81,Aalborg BK                              ,1.4M    ,7K   ,Left ,11,5'9 ,165lbs
9081 ,231749,Migueln                       ,22,Spain                         ,66,75,Villarreal CF                           ,850K    ,7K   ,Right,15,5'9 ,154lbs
9082 ,175941,J. Horn                       ,31,Norway                        ,66,66,Sarpsborg 08 FF                         ,425K    ,2K   ,Right,3 ,6'2 ,183lbs
9083 ,205382,E. Boldewijn                  ,25,Netherlands                   ,66,67,Notts County                            ,775K    ,6K   ,Right,11,6'1 ,168lbs
9084 ,207942,Stfano Pinho                  ,27,Brazil                        ,66,67,Orlando City SC                         ,750K    ,3K   ,Right,29,6'0 ,165lbs
9085 ,220230,P. Bochniewicz                ,22,Poland                        ,66,73,Grnik Zabrze                            ,775K    ,6K   ,Left ,5 ,6'4 ,187lbs
9086 ,227398,E. Caicedo                    ,23,Colombia                      ,66,75,Deportivo Cali                          ,850K    ,1K   ,Left ,23,6'1 ,174lbs
9087 ,235590,P. Sisniega                   ,22,Mexico                        ,66,73,Real Sociedad                           ,675K    ,5K   ,Right,32,6'4 ,174lbs
9088 ,240454,F. Wadja                      ,23,Cameroon                      ,66,72,FC Lorient                              ,750K    ,2K   ,Right,24,6'1 ,183lbs
9089 ,209223,A. Al Faraj                   ,29,Saudi Arabia                  ,66,66,Al Nassr                                ,500K    ,10K  ,Right,27,5'8 ,150lbs
9090 ,212039,S. Al Muwallad                ,27,Saudi Arabia                  ,66,67,Al Ahli                                 ,600K    ,10K  ,Right,2 ,6'0 ,174lbs
9091 ,181831,Yang Cheng                    ,32,China PR                      ,66,66,Hebei China Fortune FC                  ,375K    ,3K   ,Right,19,6'1 ,170lbs
9092 ,117063,N. Douchez                    ,38,France                        ,66,66,Red Star FC                             ,40K     ,1K   ,Right,16,6'1 ,187lbs
9093 ,212040,U. Jenssen                    ,21,Norway                        ,66,76,FC Nordsjlland                          ,925K    ,3K   ,Left ,3 ,6'1 ,181lbs
9094 ,214088,C. Dawson                     ,22,England                       ,66,74,Sheffield Wednesday                     ,700K    ,5K   ,Right,25,6'4 ,152lbs
9095 ,230984,F. Gino                       ,25,Uruguay                       ,66,71,Club Atltico Aldosivi                   ,850K    ,4K   ,Right,29,5'9 ,154lbs
9096 ,243016,Alberto Soro                  ,19,Spain                         ,66,80,Real Zaragoza                           ,1.4M    ,2K   ,Left ,29,5'8 ,139lbs
9097 ,227145,C. Carrillo                   ,25,Colombia                      ,66,70,Millonarios FC                          ,700K    ,1K   ,Right,8 ,5'10,143lbs
9098 ,245065,D. Palacios                   ,18,Ecuador                       ,66,75,Willem II                               ,775K    ,1K   ,Left ,5 ,5'7 ,148lbs
9099 ,193865,A. Baclet                     ,32,France                        ,66,66,Cosenza                                 ,525K    ,1K   ,Left ,16,5'11,176lbs
9100 ,140618,E. Jger                       ,33,Estonia                       ,66,66,Vlerenga Fotball                        ,260K    ,2K   ,Right,3 ,5'9 ,161lbs
9101 ,215370,M. Hofmann                    ,24,Austria                       ,66,69,SK Rapid Wien                           ,675K    ,4K   ,Right,20,6'0 ,154lbs
9102 ,223306,J. Jach                       ,24,Poland                        ,66,73,aykur Rizespor                          ,775K    ,11K  ,Left ,7 ,6'4 ,179lbs
9103 ,224842,G. Docherty                   ,21,Scotland                      ,66,77,Shrewsbury                              ,1.1M    ,10K  ,Right,8 ,5'10,159lbs
9104 ,228426,L. Escorcia                   ,21,Colombia                      ,66,76,Jaguares de Crdoba                      ,925K    ,1K   ,Right,3 ,6'1 ,168lbs
9105 ,228682,R. Rebolledo                  ,21,Chile                         ,66,70,Universidad Catlica                     ,700K    ,2K   ,Right,21,5'7 ,139lbs
9106 ,234826,Toni Martnez                  ,21,Spain                         ,66,80,CF Rayo Majadahonda                     ,1.4M    ,16K  ,Right,18,5'11,154lbs
9107 ,240458,Ander Guevara                 ,20,Spain                         ,66,76,Real Sociedad                           ,1M      ,6K   ,Right,26,5'11,161lbs
9108 ,203851,D. Drescher                   ,28,Austria                       ,66,66,SKN St. Plten                           ,525K    ,5K   ,Left ,29,6'3 ,187lbs
9109 ,213835,J. Gammelby                   ,23,Denmark                       ,66,75,Brndby IF                               ,850K    ,6K   ,Right,2 ,6'4 ,176lbs
9110 ,222027,J. Watts                      ,26,United States                 ,66,69,Houston Dynamo                          ,675K    ,2K   ,Right,33,6'2 ,154lbs
9111 ,171083,R. O'Donovan                  ,32,Republic of Ireland           ,66,66,Newcastle Jets                          ,525K    ,2K   ,Right,9 ,5'10,141lbs
9112 ,237131,J. Rodrguez                   ,22,Mexico                        ,66,75,Club Len                                ,850K    ,7K   ,Left ,12,5'7 ,134lbs
9113 ,155980,D. Bik                        ,37,Czech Republic                ,66,66,Sparta Praha                            ,40K     ,1K   ,Right,35,6'4 ,201lbs
9114 ,222540,N. Vergos                     ,22,Greece                        ,66,75,Panathinaikos FC                        ,1M      ,1K   ,Right,20,6'0 ,170lbs
9115 ,223052,J. Narvez                     ,27,Ecuador                       ,66,67,                                        ,0       ,0    ,Right,3 ,6'0 ,159lbs
9116 ,228684,R. Nyambe                     ,20,Namibia                       ,66,78,Blackburn Rovers                        ,1M      ,8K   ,Right,2 ,6'0 ,168lbs
9117 ,231244,E. Resndez                    ,22,Mexico                        ,66,77,Monterrey                               ,850K    ,7K   ,Right,24,6'1 ,159lbs
9118 ,231500,D. Widgren                    ,24,Sweden                        ,66,70,stersunds FK                            ,700K    ,2K   ,Left ,19,5'11,165lbs
9119 ,178508,A. Cocco                      ,32,Italy                         ,66,66,Pescara                                 ,525K    ,2K   ,Right,17,6'0 ,165lbs
9120 ,198733,O. Kefkir                     ,26,Germany                       ,66,66,KFC Uerdingen 05                        ,700K    ,3K   ,Left ,38,5'8 ,159lbs
9121 ,210253,J. Tutuarima                  ,25,Netherlands                   ,66,69,De Graafschap                           ,675K    ,2K   ,Left ,5 ,5'7 ,148lbs
9122 ,236877,Bruno Leite                   ,23,Cape Verde                    ,66,75,FK Haugesund                            ,975K    ,2K   ,Right,16,6'0 ,165lbs
9123 ,204622,J. Meekings                   ,25,England                       ,66,69,Dundee FC                               ,675K    ,2K   ,Right,24,6'0 ,172lbs
9124 ,222286,G. Lloris                     ,22,France                        ,66,72,OGC Nice                                ,750K    ,7K   ,Left ,3 ,6'3 ,183lbs
9125 ,211791,M. Konczkowski                ,24,Poland                        ,66,69,Piast Gliwice                           ,675K    ,2K   ,Right,20,5'11,163lbs
9126 ,213327,A. Jovanovi                   ,28,Australia                     ,66,66,Jeju United FC                          ,525K    ,2K   ,Right,15,6'5 ,183lbs
9127 ,226127,C. Depres                     ,23,France                        ,66,70,Nmes Olympique                          ,850K    ,5K   ,Right,9 ,6'3 ,183lbs
9128 ,231247,B. Cufr                       ,21,Argentina                     ,66,77,Vlez Sarsfield                          ,975K    ,3K   ,Left ,3 ,5'10,181lbs
9129 ,235855,J. Asoro                      ,19,Sweden                        ,66,81,Swansea City                            ,1.4M    ,5K   ,Right,16,5'9 ,165lbs
9130 ,176207,R. Boguski                    ,34,Poland                        ,66,66,Wisa Krakw                              ,325K    ,3K   ,Right,9 ,5'8 ,152lbs
9131 ,184143,A. Jacobsen                   ,28,Denmark                       ,66,66,Odense Boldklub                         ,675K    ,5K   ,Right,28,6'0 ,168lbs
9132 ,213328,S. Miangue                    ,21,Belgium                       ,66,75,Standard de Lige                        ,850K    ,6K   ,Left ,23,6'4 ,179lbs
9133 ,214608,A. Bernal                     ,30,Colombia                      ,66,66,Amrica de Cali                          ,475K    ,2K   ,Right,8 ,6'0 ,176lbs
9134 ,215376,E. Capradossi                 ,22,Italy                         ,66,75,Spezia                                  ,850K    ,12K  ,Right,13,5'11,161lbs
9135 ,224592,F. Perucchini                 ,26,Italy                         ,66,70,Ascoli                                  ,575K    ,1K   ,Left ,22,6'3 ,196lbs
9136 ,229968,T. Agyepong                   ,22,Ghana                         ,66,73,Hibernian                               ,900K    ,2K   ,Right,17,5'7 ,161lbs
9137 ,242768,G. Kharaishvili               ,21,Georgia                       ,66,74,IFK Gteborg                             ,950K    ,1K   ,Right,22,6'0 ,161lbs
9138 ,243792,Iigo Vicente                  ,20,Spain                         ,66,79,Athletic Club de Bilbao                 ,1.2M    ,5K   ,Right,29,5'10,148lbs
9139 ,205393,J. Baldwin                    ,25,England                       ,66,71,Sunderland                              ,725K    ,4K   ,Right,15,6'1 ,154lbs
9140 ,221521,R. Dekker                     ,23,Netherlands                   ,66,71,PEC Zwolle                              ,850K    ,3K   ,Right,19,5'9 ,143lbs
9141 ,225105,Cristo Gonzlez                ,20,Spain                         ,66,78,Real Madrid                             ,1.2M    ,26K  ,Right,27,5'10,163lbs
9142 ,234577,Diogo Costa                   ,18,Portugal                      ,66,82,FC Porto                                ,1.1M    ,1K   ,Right,31,6'2 ,179lbs
9143 ,240209,G. Koyalipou                  ,18,France                        ,66,79,Chamois Niortais Football Club          ,1.2M    ,1K   ,Right,8 ,6'0 ,168lbs
9144 ,243793,Alan Sousa                    ,21,Brazil                        ,66,76,Vejle Boldklub                          ,1.1M    ,3K   ,Left ,50,5'9 ,154lbs
9145 ,244305,R. Ramrez                     ,22,Venezuela                     ,66,71,Fortuna Sittard                         ,725K    ,2K   ,Right,30,5'11,174lbs
9146 ,184657,S. Fischer                    ,29,Netherlands                   ,66,66,Vendsyssel FF                           ,500K    ,4K   ,Right,16,6'0 ,179lbs
9147 ,186449,L. Kelly                      ,28,Scotland                      ,66,66,Coventry City                           ,525K    ,3K   ,Right,6 ,6'2 ,194lbs
9148 ,190545,C. Dorda                      ,29,Germany                       ,66,66,KFC Uerdingen 05                        ,475K    ,3K   ,Left ,7 ,6'0 ,176lbs
9149 ,202322,N. Nss                        ,25,Norway                        ,66,69,SC Heerenveen                           ,675K    ,3K   ,Right,4 ,6'0 ,181lbs
9150 ,214354,D. Asprilla                   ,26,Colombia                      ,66,67,Portland Timbers                        ,750K    ,3K   ,Right,27,5'11,165lbs
9151 ,232786,K. Endo                       ,20,Japan                         ,66,74,Yokohama F. Marinos                     ,950K    ,2K   ,Right,11,5'9 ,146lbs
9152 ,183122,B. Svarsson                   ,33,Iceland                       ,66,66,                                        ,0       ,0    ,Right,2 ,6'2 ,163lbs
9153 ,198740,A. Acosta                     ,30,Mexico                        ,66,66,Tigres U.A.N.L.                         ,475K    ,13K  ,Left ,27,5'7 ,157lbs
9154 ,203348,S. Carruthers                 ,25,Republic of Ireland           ,66,69,Oxford United                           ,800K    ,4K   ,Right,11,5'8 ,154lbs
9155 ,207956,P. Mpanzu                     ,24,England                       ,66,71,Luton Town                              ,850K    ,3K   ,Right,17,5'9 ,157lbs
9156 ,215380,G. Milan                      ,30,Argentina                     ,66,66,Tiburones Rojos de Veracruz             ,475K    ,3K   ,Right,5 ,6'4 ,203lbs
9157 ,162388,K. Chiba                      ,33,Japan                         ,66,66,Sanfrecce Hiroshima                     ,260K    ,4K   ,Right,5 ,6'0 ,170lbs
9158 ,239956,M. Boadu                      ,17,Netherlands                   ,66,85,AZ Alkmaar                              ,1.3M    ,3K   ,Right,21,5'11,143lbs
9159 ,162901,C. Doyle                      ,33,Republic of Ireland           ,66,66,Heart of Midlothian                     ,325K    ,2K   ,Right,1 ,6'5 ,203lbs
9160 ,235093,Fran Rodrguez                 ,23,Spain                         ,66,72,UD Almera                               ,750K    ,2K   ,Right,2 ,5'9 ,150lbs
9161 ,239957,S. Jakubiak                   ,25,Germany                       ,66,70,Heracles Almelo                         ,700K    ,2K   ,Right,21,5'9 ,148lbs
9162 ,189013,M. Buchalik                   ,29,Poland                        ,66,67,Wisa Krakw                              ,500K    ,2K   ,Right,22,6'3 ,183lbs
9163 ,199510,N. Proschwitz                 ,31,Germany                       ,66,66,SV Meppen                               ,575K    ,1K   ,Right,33,6'4 ,190lbs
9164 ,226646,F. Banguero                   ,29,Colombia                      ,66,66,Millonarios FC                          ,475K    ,2K   ,Left ,23,6'0 ,163lbs
9165 ,228182,M. El-Shenawy                 ,29,Egypt                         ,66,68,                                        ,0       ,0    ,Right,23,6'3 ,190lbs
9166 ,232790,H. Iikura                     ,32,Japan                         ,66,66,Yokohama F. Marinos                     ,375K    ,2K   ,Right,21,5'11,165lbs
9167 ,238678,K. Gehring                    ,30,Germany                       ,66,66,SG Sonnenhof Groaspach                  ,475K    ,2K   ,Right,25,6'4 ,187lbs
9168 ,173654,P. McGowan                    ,30,Scotland                      ,66,66,Dundee FC                               ,600K    ,3K   ,Right,18,5'7 ,143lbs
9169 ,178006,J. Pierazzi                   ,33,France                        ,66,66,GFC Ajaccio                             ,260K    ,2K   ,Right,28,6'1 ,165lbs
9170 ,181846,Wang Yongpo                   ,31,China PR                      ,66,66,Tianjin Quanjian FC                     ,550K    ,7K   ,Right,39,5'10,157lbs
9171 ,183894,M. Snchez                     ,30,Argentina                     ,66,66,San Martn de San Juan                   ,475K    ,4K   ,Right,15,5'8 ,157lbs
9172 ,203095,S. Gannon                     ,26,Republic of Ireland           ,66,67,Dundalk                                 ,625K    ,1K   ,Right,2 ,6'0 ,148lbs
9173 ,240215,C. Capone                     ,19,Italy                         ,66,82,Pescara                                 ,1.4M    ,4K   ,Right,11,6'0 ,165lbs
9174 ,177495,C. Taylor                     ,31,England                       ,66,66,Blackpool                               ,575K    ,3K   ,Right,19,6'0 ,161lbs
9175 ,193111,R. Lange                      ,29,Germany                       ,66,66,FSV Zwickau                             ,475K    ,1K   ,Left ,20,5'10,168lbs
9176 ,215384,A. Keita                      ,26,Guinea                        ,66,68,Os Belenenses                           ,800K    ,3K   ,Right,50,6'0 ,174lbs
9177 ,225368,B. Gueye                      ,23,Senegal                       ,66,72,SC Paderborn 07                         ,900K    ,4K   ,Right,27,6'4 ,185lbs
9178 ,239704,K. Wagner                     ,21,Germany                       ,66,71,FC Wrzburger Kickers                    ,725K    ,2K   ,Left ,6 ,6'0 ,172lbs
9179 ,110680,Xisco Campos                  ,36,Spain                         ,66,66,RCD Mallorca                            ,70K     ,2K   ,Right,5 ,5'11,163lbs
9180 ,200793,C. Robertson                  ,24,Scotland                      ,66,69,Rotherham United                        ,675K    ,8K   ,Left ,15,6'2 ,168lbs
9181 ,139609,C. Conway                     ,33,Scotland                      ,66,66,Blackburn Rovers                        ,400K    ,12K  ,Right,32,5'7 ,148lbs
9182 ,229721,Jaj                           ,23,Brazil                        ,66,70,Kalmar FF                               ,825K    ,1K   ,Left ,50,5'10,154lbs
9183 ,173401,A. Vanins                     ,38,Latvia                        ,66,66,FC Zrich                                ,40K     ,2K   ,Right,1 ,6'1 ,187lbs
9184 ,187225,O. Mendoza                    ,29,Mexico                        ,66,66,Club Tijuana                            ,475K    ,6K   ,Right,28,5'8 ,159lbs
9185 ,198490,A. Faltsetas                  ,30,Sweden                        ,66,66,BK Hcken                                ,600K    ,2K   ,Right,6 ,5'11,174lbs
9186 ,216154,J. Elsey                      ,24,Australia                     ,66,69,Adelaide United                         ,675K    ,1K   ,Right,23,6'2 ,176lbs
9187 ,236378,A. Plizzari                   ,18,Italy                         ,66,84,Milan                                   ,1.1M    ,4K   ,Right,35,6'2 ,161lbs
9188 ,116314,D. Martin                     ,32,England                       ,66,66,Millwall                                ,375K    ,3K   ,Right,16,6'2 ,190lbs
9189 ,186970,Gu Cao                        ,30,China PR                      ,66,66,Henan Jianye FC                         ,475K    ,4K   ,Right,5 ,6'0 ,165lbs
9190 ,235867,L. Strizzolo                  ,26,Italy                         ,66,69,Cittadella                              ,825K    ,1K   ,Right,9 ,6'2 ,183lbs
9191 ,236635,Juan Rodrguez                 ,23,Spain                         ,66,72,Real Sporting de Gijn                   ,750K    ,3K   ,Right,4 ,6'0 ,183lbs
9192 ,215132,S. Moyano                     ,27,Argentina                     ,66,69,Gimnasia y Esgrima La Plata             ,550K    ,3K   ,Right,15,6'2 ,172lbs
9193 ,233564,A. Schetino                   ,24,Uruguay                       ,66,73,Cosenza                                 ,775K    ,11K  ,Right,15,6'0 ,161lbs
9194 ,236636,A. Caci                       ,21,France                        ,66,76,RC Strasbourg Alsace                    ,925K    ,4K   ,Right,19,6'0 ,154lbs
9195 ,209757,V. Janjetovi                  ,30,Australia                     ,66,66,Western Sydney Wanderers                ,425K    ,2K   ,Right,20,6'2 ,185lbs
9196 ,225117,N. Haas                       ,22,Switzerland                   ,66,77,Palermo                                 ,1.1M    ,7K   ,Right,28,5'11,163lbs
9197 ,225629,T. Valls                      ,22,France                        ,66,71,Nmes Olympique                          ,850K    ,5K   ,Left ,18,5'11,165lbs
9198 ,238685,P. Herrmann                   ,30,Germany                       ,66,66,Holstein Kiel                           ,475K    ,4K   ,Right,19,5'10,185lbs
9199 ,183645,C. Ramsebner                  ,29,Austria                       ,66,66,LASK Linz                               ,500K    ,4K   ,Right,15,6'3 ,183lbs
9200 ,205406,L. Martinelli                 ,29,Italy                         ,66,66,Foggia                                  ,500K    ,1K   ,Right,14,6'1 ,161lbs
9201 ,145758,Freire                        ,28,Brazil                        ,66,66,Shimizu S-Pulse                         ,525K    ,2K   ,Right,4 ,6'2 ,181lbs
9202 ,155998,T. ern                        ,33,Czech Republic                ,66,66,Aberdeen                                ,325K    ,2K   ,Left ,20,6'0 ,183lbs
